"name","key_mlbam","key_bbref","key_fangraphs"
"Frank Carpin",112026,"carpifr01",1001982
"Cory Wade",460677,"wadeco01",7570
"Marc Wilkins",124270,"wilkima01",1013959
"David Doster",113488,"dosteda01",1003423
"Eddie Zambrano",124739,"zambred01",1014414
"Joe Ortiz",517451,"ortizjo05",7955
"Brad Glenn",543223,"glennbr01",7392
"Ken Schrom",121871,"schroke01",1011620
"Ryan Garton",623439,"gartory01",14016
"Dick Stuart",122897,"stuardi01",1012639
"Greg Wells",124073,"wellsgr01",1013767
"Yoervis Medina",500721,"medinyo01",10498
"Bobby Floyd",114262,"floydbo01",1004177
"Cotton Nash",119658,"nashco01",1009457
"Mike Frank",133980,"frankmi02",1004302
"Archie Reynolds",121101,"reynoar01",1010861
"Bill Sampen",121648,"sampebi01",1011395
"Joe Harvey",642840,"harvejo01",16459
"Russ Snyder",122513,"snyderu01",1012256
"Tony Rodriguez",121360,"rodrito01",1011115
"Cookie Rojas",121406,"rojasco01",1011152
"Bob Tewksbury",123213,"tewksbo01",1012941
"Butch Metzger",119000,"metzgbu01",1008811
"Jimmy Gobble",425471,"gobblji01",1791
"Stephen Ridings",670050,"ridinst01",22358
"Kevin Hart",453954,"hartke01",8079
"Sam McDowell",118659,"mcdowsa01",1008476
"Ken Ray",150208,"rayke01",1986
"Rondell White",124185,"whitero02",856
"Tommy Shields",122152,"shielto01",1011893
"Josh Wilson",425543,"wilsojo03",2102
"Chris James",116477,"jamesch02",1006347
"Dickie Thon",123309,"thondi01",1013033
"Rich Beck",110762,"beckri01",1000757
"Joe Foy",114368,"foyjo01",1004286
"Brandon Maurer",543506,"maurebr01",4878
"Tim Leary",117592,"learyti01",1007438
"Manny Mota",119453,"motama01",1009259
"Fernando Vina",123726,"vinafe01",1189
"Rafael Valdez",123604,"valdera01",1013316
"John Hope",116137,"hopejo01",1006011
"Marcelino Lopez",117923,"lopezma01",1007757
"Joe Gates",114655,"gatesjo01",1004571
"Gil Kubski",117347,"kubskgi01",1007193
"Scott Strickland",232994,"stricsc02",897
"Victor Alcántara",622505,"alcanvi01",15028
"Ken Hamlin",115387,"hamlike01",1005279
"Dick Hall",115350,"halldi01",1005241
"Tony Renda",573113,"rendato01",13443
"Brett Jodie",407093,"jodiebr01",1006415
"Rey Ordóñez",120045,"ordonre01",889
"Ariel Prieto",120768,"prietar01",1010536
"Carmelo Castillo",112118,"castica01",1002059
"Kevin Walker",276526,"walkeke02",1060
"Ben Hayes",115639,"hayesbe01",1005523
"John Littlefield",117823,"littljo01",1007665
"Jim Norris",119841,"norriji01",1009635
"Jerry Moses",119436,"mosesje01",1009242
"Paul Runge",121553,"rungepa01",1011302
"René Arocha",110338,"arochre01",1000325
"Mike Costanzo",453068,"costami01",3533
"Ken Caminiti",111908,"caminke01",1001863
"Chuck Schilling",121810,"schilch01",1011560
"Steve Crawford",112807,"crawfst01",1002749
"Jon Nunnally",119869,"nunnajo01",1009660
"Mike Schmidt",121836,"schmimi01",1011586
"Darnell McDonald",150021,"mcdonda02",1867
"Dick Mills",119150,"millsdi01",1008955
"Ryan Webb",444436,"webbry01",7474
"John Snyder",122511,"snydejo02",1012253
"Jeff Torborg",123401,"torboje01",1013123
"Robb Nen",119718,"nenro01",1123
"Charlie Tilson",605508,"tilsoch01",12983
"Jacob Turner",545363,"turneja01",10185
"Héctor Rondón",444468,"rondohe01",2391
"Jon Lester",452657,"lestejo01",4930
"Darrel Chaney",112188,"chaneda01",1002134
"Vic Albury",110113,"alburvi01",1000109
"John Bohnet",111159,"bohnejo01",1001129
"Mark Wohlers",124498,"wohlema01",414
"Juan Alvarez",235094,"alvarju01",1432
"Jeff Berblinger",110890,"berblje01",1000863
"Brian Buchanan",150211,"buchabr01",720
"John Mayberry",460055,"maybejo02",3390
"Calvin Pickering",136730,"pickeca01",208
"Hernán Pérez",541650,"perezhe01",5751
"Kenny Lofton",117863,"loftoke01",246
"Ben Weber",276533,"weberbe01",41
